text,new_text
Создай задачу: Подготовить отчет к 15:00 завтра на Анну,создавать задача :  подготовить отчет к 15 : 00 завтра на анна
Создай задание: Отправить приглашения на собрание к 10:00 утра на Ивана,создавать задание :  отправлять приглашение на собрание к 10 : 00 утро на иван
Создай задачу: Разработать презентацию к 18:00 сегодня на Сергея,создавать задача :  разрабатывать презентация к 18 : 00 сегодня на сергей
Назначь обязанность: Провести собрание с командой в 14:30 завтра на Ольгу,назначать обязанность :  проводить собрание с команда в 14 : 30 завтра на ольга
Поставь задачу: Подготовить план мероприятий к 12:00 на следующий день на Наталью,поставлять задача :  подготовить план мероприятие к 12 : 00 на следующий день на наталья
Задай задачу: Отправить письмо с уточнениями к 16:00 сегодня на Василия,задавать задача :  отправлять письмо с уточнение к 16 : 00 сегодня на василий
Создай задачу: Проверить документацию к 9:30 утра завтра на Дениса,создавать задача :  проверять документация к 9 : 30 утро завтра на денис
Дай поручение: Разработать бюджет проекта к 17:00 сегодня на Екатерину,давать поручение :  разрабатывать бюджет проект к 17 : 00 сегодня на екатерина
Создай задачу: Провести тренинг сотрудников к 11:00 утра на Артура,создавать задача :  проводить тренинг сотрудник к 11 : 00 утро на артур
Создай задачу: Подготовить резюме к 14:00 завтра на Марину,создавать задача :  подготовить резюме к 14 : 00 завтра на марина
Создай задачу: Подготовить презентацию к 10:00 утра на Ивана,создавать задача :  подготовить презентация к 10 : 00 утро на иван
Создай задачу: Провести собрание с командой к 15:30 сегодня на Анну,создавать задача :  проводить собрание с команда к 15 : 30 сегодня на анна
Создай задачу: Отправить отчет до конца дня на Сергея,создавать задача :  отправлять отчет до конец день на сергей
Создай задачу: Разработать стратегию маркетинга к 14:00 завтра на Наталью,создавать задача :  разрабатывать стратегия маркетинг к 14 : 00 завтра на наталья
Создай задачу: Проверить бюджет к 16:30 утра завтра на Ольгу,создавать задача :  проверять бюджет к 16 : 30 утро завтра на ольга
Создай задачу: Согласовать график работы сотрудников к 12:00 на Дениса,создавать задача :  согласовывать график работа сотрудник к 12 : 00 на денис
Создай задачу: Подготовить отчет о выполнении проекта к 18:00 сегодня на Василия,создавать задача :  подготовить отчет о выполнение проект к 18 : 00 сегодня на василий
Создай задачу: Провести обучение новых сотрудников к 11:30 утра на Екатерину,создавать задача :  проводить обучение новый сотрудник к 11 : 30 утро на екатерина
Создай задачу: Отправить приглашения на корпоративное мероприятие к 13:00 завтра на Артура,создавать задача :  отправлять приглашение на корпоративный мероприятие к 13 : 00 завтра на артур
Создай задачу: Разработать план мероприятий к 17:30 сегодня на Марину,создавать задача :  разрабатывать план мероприятие к 17 : 30 сегодня на марина
Создай задачу: Подготовить аналитический отчет к 9:00 утра на Катю,создавать задача :  подготовить аналитический отчет к 9 : 00 утро на катя
Создай задачу: Организовать встречу с клиентом к 14:30 завтра на Владимира,создавать задача :  организовывать встреча с клиент к 14 : 30 завтра на владимир
Создай задачу: Провести интервью с кандидатами к 16:00 сегодня на Людмилу,создавать задача :  проводить интервью с кандидат к 16 : 00 сегодня на людмила
Создай задачу: Отправить письмо с запросом на информацию к 10:30 утра завтра на Павла,создавать задача :  отправлять письмо с запрос на информация к 10 : 30 утро завтра на павел
Создай задачу: Проверить выполнение задачи по проекту к 15:00 сегодня на Софию,создавать задача :  проверять выполнение задача по проект к 15 : 00 сегодня на софия
Создай задачу: Подготовить список необходимых закупок к 11:45 утра на Михаила,создавать задача :  подготовить список необходимый закупка к 11 : 45 утро на михаил
Создай задачу: Разработать новый дизайн сайта к 14:45 завтра на Ирину,создавать задача :  разрабатывать новый дизайн сайт к 14 : 45 завтра на ирина
Создай задачу: Провести аудит безопасности к 16:15 сегодня на Виктора,создавать задача :  проводить аудит безопасность к 16 : 15 сегодня на виктор
Создай задачу: Отправить документы на согласование к 9:30 утра завтра на Алису,создавать задача :  отправлять документ на согласование к 9 : 30 утро завтра на алиса
Создай задачу: Подготовить материалы для прессконференции к 17:45 сегодня на Дмитрия,создавать задача :  подготовить материал для прессконференция к 17 : 45 сегодня на дмитрий
Создай задачу: Провести тренинг по управлению временем к 10:15 утра на Елену,создавать задача :  проводить тренинг по управление время к 10 : 15 утро на елена
Создай задачу: Отправить предложение по сотрудничеству к 12:30 завтра на Игоря,создавать задача :  отправлять предложение по сотрудничество к 12 : 30 завтра на игорь
Создай задачу: Разработать план маркетинговых мероприятий к 14:45 сегодня на Ангелину,создавать задача :  разрабатывать план маркетинговый мероприятие к 14 : 45 сегодня на ангелина
Создай задачу: Провести обзор рынка к 16:30 утра завтра на Валентина,создавать задача :  проводить обзор рынок к 16 : 30 утро завтра на валентина
Создай задачу: Организовать онлайнконференцию к 11:00 утра на Анну,создавать задача :  организовывать онлайнконференция к 11 : 00 утро на анна
Создай задачу: Подготовить отчет о выполненной работе к 15:15 сегодня на Станислава,создавать задача :  подготовить отчет о выполнять работа к 15 : 15 сегодня на станислав
Создай задачу: Отправить уведомление о встрече к 17:00 завтра на Веронику,создавать задача :  отправлять уведомление о встреча к 17 : 00 завтра на вероника
