Unnamed: 0,time,lower_time
0,сегодня,сегодня
1,завтра,завтра
2,неделя,неделя
3,месяц,месяц
4,квартал,квартал
5,год,год
6,утро,утро
7,день,день
8,вечер,вечер
9,ночь,ночь
10,ранее,ранее
11,позднее,поздно
12,срочно,срочно
13,в ближайшее время,в близкий время
14,в течение дня,в течение день
15,в течение недели,в течение неделя
16,в течение месяца,в течение месяц
17,до конца недели,до конец неделя
18,до конца месяца,до конец месяц
19,до конца дня,до конец день
20,до определенной даты,до определенный дата
21,в самое ближайшее время,в самый близкий время
22,после завтра,после завтра
23,после завершения текущей задачи,после завершение текущий задача
24,во второй половине дня,во второй половина день
25,с начала следующей недели,с начало следующий неделя
26,в начале следующего месяца,в начало следующий месяц
27,в предстоящую субботу,в предстоять суббота
28,после обеда,после обед
29,после ужина,после ужин
30,в середине дня,в середина день
31,в конце рабочего дня,в конец рабочий день
32,в конце рабочей недели,в конец рабочий неделя
33,перед отпуском,перед отпуск
34,после отпуска,после отпуск
35,перед выходными,перед выходной
36,после выходных,после выходной
37,по мере необходимости,по мера необходимость
38,в понедельник,в понедельник
39,в среду,в среда
40,в пятницу,в пятница
41,в выходные,в выходной
42,в будни,в будни
43,с утра до вечера,с утро до вечер
44,вечером после работы,вечер после работа
45,ближе к концу месяца,близко к конец месяц
46,к началу недели,к начало неделя
47,к середине недели,к середина неделя
48,к концу недели,к конец неделя
49,к началу месяца,к начало месяц
50,к середине месяца,к середина месяц
51,1,1
52,2,2
53,3,3
54,4,4
55,5,5
56,6,6
57,7,7
58,8,8
59,9,9
60,10,10
61,11,11
62,12,12
63,13,13
64,14,14
65,15,15
66,16,16
67,17,17
68,18,18
69,19,19
70,20,20
71,21,21
72,22,22
73,23,23
74,00,00
75,0,0
76,5,5
77,10,10
78,15,15
79,20,20
80,25,25
81,30,30
82,35,35
83,40,40
84,45,45
85,50,50
86,55,55
87,январь,январь
88,февраль,февраль
89,март,март
90,апрель,апрель
91,май,май
92,июнь,июнь
93,июль,июль
94,август,август
95,сентябрь,сентябрь
96,октябрь,октябрь
97,ноябрь,ноябрь
98,декабрь,декабрь
