time,lower_time
сегодня,сегодня
час,час
завтра,завтра
неделя,неделя
месяц,месяц
квартал,квартал
год,год
утро,утро
день,день
вечер,вечер
ночь,ночь
ранее,ранее
позднее,поздно
срочно,срочно
в ближайшее время,в близкий время
в течение дня,в течение день
в течение недели,в течение неделя
в течение месяца,в течение месяц
до конца недели,до конец неделя
до конца месяца,до конец месяц
до конца дня,до конец день
до определенной даты,до определенный дата
в самое ближайшее время,в самый близкий время
после завтра,после завтра
после завершения текущей задачи,после завершение текущий задача
во второй половине дня,во второй половина день
с начала следующей недели,с начало следующий неделя
в начале следующего месяца,в начало следующий месяц
в предстоящую субботу,в предстоять суббота
после обеда,после обед
после ужина,после ужин
в середине дня,в середина день
в конце рабочего дня,в конец рабочий день
в конце рабочей недели,в конец рабочий неделя
перед отпуском,перед отпуск
после отпуска,после отпуск
перед выходными,перед выходной
после выходных,после выходной
по мере необходимости,по мера необходимость
в понедельник,в понедельник
в среду,в среда
в пятницу,в пятница
в выходные,в выходной
в будни,в будни
с утра до вечера,с утро до вечер
вечером после работы,вечер после работа
ближе к концу месяца,близко к конец месяц
к началу недели,к начало неделя
к середине недели,к середина неделя
к концу недели,к конец неделя
к началу месяца,к начало месяц
к середине месяца,к середина месяц
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
00,00
0,0
35,35
40,40
45,45
50,50
55,55
