text,new_text,task_type,person,time
Создай задачу : Подготовить отчет к 15 : 00 завтра на Анну,создавать задача : подготовить отчет к 15 : 00 завтра на анна,"['создавать задача : подготовить отчет к 15 : 00 завтра на анна', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : подготовить отчет к 15 : 00 завтра на анна', {'entities': [(57, 61, 'person')]}]","['создавать задача : подготовить отчет к 15 : 00 завтра на анна', {'entities': [(39, 41, 'time'), (44, 46, 'time'), (47, 53, 'time')]}]"
Создай задание : Отправить приглашения на собрание к 10 : 00 утра на Ивана,создавать задание : отправлять приглашение на собрание к 10 : 00 утро на иван,"['создавать задание : отправлять приглашение на собрание к 10 : 00 утро на иван', {'entities': [(0, 17, 'task_type')]}]","['создавать задание : отправлять приглашение на собрание к 10 : 00 утро на иван', {'entities': [(73, 77, 'person')]}]","['создавать задание : отправлять приглашение на собрание к 10 : 00 утро на иван', {'entities': [(57, 59, 'time'), (62, 64, 'time'), (65, 69, 'time')]}]"
Создай задачу : Разработать презентацию к 18 : 00 сегодня на Сергея,создавать задача : разрабатывать презентация к 18 : 00 сегодня на сергей,"['создавать задача : разрабатывать презентация к 18 : 00 сегодня на сергей', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : разрабатывать презентация к 18 : 00 сегодня на сергей', {'entities': [(66, 72, 'person')]}]","['создавать задача : разрабатывать презентация к 18 : 00 сегодня на сергей', {'entities': [(47, 49, 'time'), (52, 54, 'time'), (55, 62, 'time')]}]"
Назначь обязанность : Провести собрание с командой в 14 : 30 завтра на Ольгу,назначать обязанность : проводить собрание с команда в 14 : 30 завтра на ольга,"['назначать обязанность : проводить собрание с команда в 14 : 30 завтра на ольга', {'entities': [(0, 21, 'task_type')]}]","['назначать обязанность : проводить собрание с команда в 14 : 30 завтра на ольга', {'entities': [(73, 78, 'person')]}]","['назначать обязанность : проводить собрание с команда в 14 : 30 завтра на ольга', {'entities': [(55, 57, 'time'), (60, 62, 'time'), (63, 69, 'time')]}]"
Поставь задачу : Подготовить план мероприятий к 12 : 00 на следующий день на Наталью,поставлять задача : подготовить план мероприятие к 12 : 00 на следующий день на наталья,"['поставлять задача : подготовить план мероприятие к 12 : 00 на следующий день на наталья', {'entities': [(0, 17, 'task_type')]}]","['поставлять задача : подготовить план мероприятие к 12 : 00 на следующий день на наталья', {'entities': [(80, 87, 'person')]}]","['поставлять задача : подготовить план мероприятие к 12 : 00 на следующий день на наталья', {'entities': [(51, 53, 'time'), (56, 58, 'time'), (72, 76, 'time')]}]"
Задай задачу : Отправить письмо с уточнениями к 16 : 00 сегодня на Василия,задавать задача : отправлять письмо с уточнение к 16 : 00 сегодня на василий,"['задавать задача : отправлять письмо с уточнение к 16 : 00 сегодня на василий', {'entities': [(0, 15, 'task_type')]}]","['задавать задача : отправлять письмо с уточнение к 16 : 00 сегодня на василий', {'entities': [(69, 76, 'person')]}]","['задавать задача : отправлять письмо с уточнение к 16 : 00 сегодня на василий', {'entities': [(50, 52, 'time'), (55, 57, 'time'), (58, 65, 'time')]}]"
Создай задачу : Проверить документацию к 9 : 30 утра завтра на Дениса,создавать задача : проверять документация к 9 : 30 утро завтра на денис,"['создавать задача : проверять документация к 9 : 30 утро завтра на денис', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : проверять документация к 9 : 30 утро завтра на денис', {'entities': [(66, 71, 'person')]}]","['создавать задача : проверять документация к 9 : 30 утро завтра на денис', {'entities': [(44, 45, 'time'), (48, 50, 'time'), (51, 55, 'time'), (56, 62, 'time')]}]"
Дай поручение : Разработать бюджет проекта к 17 : 00 сегодня на Екатерину,давать поручение : разрабатывать бюджет проект к 17 : 00 сегодня на екатерина,"['давать поручение : разрабатывать бюджет проект к 17 : 00 сегодня на екатерина', {'entities': [(0, 16, 'task_type')]}]","['давать поручение : разрабатывать бюджет проект к 17 : 00 сегодня на екатерина', {'entities': [(68, 77, 'person')]}]","['давать поручение : разрабатывать бюджет проект к 17 : 00 сегодня на екатерина', {'entities': [(49, 51, 'time'), (54, 56, 'time'), (57, 64, 'time')]}]"
Создай задачу : Провести тренинг сотрудников к 11 : 00 утра на Артура,создавать задача : проводить тренинг сотрудник к 11 : 00 утро на артур,"['создавать задача : проводить тренинг сотрудник к 11 : 00 утро на артур', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : проводить тренинг сотрудник к 11 : 00 утро на артур', {'entities': [(65, 70, 'person')]}]","['создавать задача : проводить тренинг сотрудник к 11 : 00 утро на артур', {'entities': [(49, 51, 'time'), (54, 56, 'time'), (57, 61, 'time')]}]"
Создай задачу : Подготовить резюме к 14 : 00 завтра на Марину,создавать задача : подготовить резюме к 14 : 00 завтра на марина,"['создавать задача : подготовить резюме к 14 : 00 завтра на марина', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : подготовить резюме к 14 : 00 завтра на марина', {'entities': [(58, 64, 'person')]}]","['создавать задача : подготовить резюме к 14 : 00 завтра на марина', {'entities': [(40, 42, 'time'), (45, 47, 'time'), (48, 54, 'time')]}]"
Создай задачу : Подготовить презентацию к 10 : 00 утра на Ивана,создавать задача : подготовить презентация к 10 : 00 утро на иван,"['создавать задача : подготовить презентация к 10 : 00 утро на иван', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : подготовить презентация к 10 : 00 утро на иван', {'entities': [(61, 65, 'person')]}]","['создавать задача : подготовить презентация к 10 : 00 утро на иван', {'entities': [(45, 47, 'time'), (50, 52, 'time'), (53, 57, 'time')]}]"
Создай задачу : Провести собрание с командой к 15 : 30 сегодня на Анну,создавать задача : проводить собрание с команда к 15 : 30 сегодня на анна,"['создавать задача : проводить собрание с команда к 15 : 30 сегодня на анна', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : проводить собрание с команда к 15 : 30 сегодня на анна', {'entities': [(69, 73, 'person')]}]","['создавать задача : проводить собрание с команда к 15 : 30 сегодня на анна', {'entities': [(50, 52, 'time'), (55, 57, 'time'), (58, 65, 'time')]}]"
Создай задачу : Отправить отчет до конца дня на Сергея,создавать задача : отправлять отчет до конец день на сергей,"['создавать задача : отправлять отчет до конец день на сергей', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : отправлять отчет до конец день на сергей', {'entities': [(53, 59, 'person')]}]","['создавать задача : отправлять отчет до конец день на сергей', {'entities': [(36, 49, 'time')]}]"
Создай задачу : Разработать стратегию маркетинга к 14 : 00 завтра на Наталью,создавать задача : разрабатывать стратегия маркетинг к 14 : 00 завтра на наталья,"['создавать задача : разрабатывать стратегия маркетинг к 14 : 00 завтра на наталья', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : разрабатывать стратегия маркетинг к 14 : 00 завтра на наталья', {'entities': [(73, 80, 'person')]}]","['создавать задача : разрабатывать стратегия маркетинг к 14 : 00 завтра на наталья', {'entities': [(55, 57, 'time'), (60, 62, 'time'), (63, 69, 'time')]}]"
Создай задачу : Проверить бюджет к 16 : 30 утра завтра на Ольгу,создавать задача : проверять бюджет к 16 : 30 утро завтра на ольга,"['создавать задача : проверять бюджет к 16 : 30 утро завтра на ольга', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : проверять бюджет к 16 : 30 утро завтра на ольга', {'entities': [(61, 66, 'person')]}]","['создавать задача : проверять бюджет к 16 : 30 утро завтра на ольга', {'entities': [(38, 40, 'time'), (43, 45, 'time'), (46, 50, 'time'), (51, 57, 'time')]}]"
Создай задачу : Согласовать график работы сотрудников к 12 : 00 на Дениса,создавать задача : согласовывать график работа сотрудник к 12 : 00 на денис,"['создавать задача : согласовывать график работа сотрудник к 12 : 00 на денис', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : согласовывать график работа сотрудник к 12 : 00 на денис', {'entities': [(70, 75, 'person')]}]","['создавать задача : согласовывать график работа сотрудник к 12 : 00 на денис', {'entities': [(59, 61, 'time'), (64, 66, 'time')]}]"
Создай задачу : Подготовить отчет о выполнении проекта к 18 : 00 сегодня на Василия,создавать задача : подготовить отчет о выполнение проект к 18 : 00 сегодня на василий,"['создавать задача : подготовить отчет о выполнение проект к 18 : 00 сегодня на василий', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : подготовить отчет о выполнение проект к 18 : 00 сегодня на василий', {'entities': [(78, 85, 'person')]}]","['создавать задача : подготовить отчет о выполнение проект к 18 : 00 сегодня на василий', {'entities': [(59, 61, 'time'), (64, 66, 'time'), (67, 74, 'time')]}]"
Создай задачу : Провести обучение новых сотрудников к 11 : 30 утра на Екатерину,создавать задача : проводить обучение новый сотрудник к 11 : 30 утро на екатерина,"['создавать задача : проводить обучение новый сотрудник к 11 : 30 утро на екатерина', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : проводить обучение новый сотрудник к 11 : 30 утро на екатерина', {'entities': [(72, 81, 'person')]}]","['создавать задача : проводить обучение новый сотрудник к 11 : 30 утро на екатерина', {'entities': [(56, 58, 'time'), (61, 63, 'time'), (64, 68, 'time')]}]"
Создай задачу : Отправить приглашения на корпоративное мероприятие к 13 : 00 завтра на Артура,создавать задача : отправлять приглашение на корпоративный мероприятие к 13 : 00 завтра на артур,"['создавать задача : отправлять приглашение на корпоративный мероприятие к 13 : 00 завтра на артур', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : отправлять приглашение на корпоративный мероприятие к 13 : 00 завтра на артур', {'entities': [(91, 96, 'person')]}]","['создавать задача : отправлять приглашение на корпоративный мероприятие к 13 : 00 завтра на артур', {'entities': [(73, 75, 'time'), (78, 80, 'time'), (81, 87, 'time')]}]"
Создай задачу : Разработать план мероприятий к 17 : 30 сегодня на Марину,создавать задача : разрабатывать план мероприятие к 17 : 30 сегодня на марина,"['создавать задача : разрабатывать план мероприятие к 17 : 30 сегодня на марина', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : разрабатывать план мероприятие к 17 : 30 сегодня на марина', {'entities': [(71, 77, 'person')]}]","['создавать задача : разрабатывать план мероприятие к 17 : 30 сегодня на марина', {'entities': [(52, 54, 'time'), (57, 59, 'time'), (60, 67, 'time')]}]"
Создай задачу : Подготовить аналитический отчет к 9 : 00 утра на Катю,создавать задача : подготовить аналитический отчет к 9 : 00 утро на катя,"['создавать задача : подготовить аналитический отчет к 9 : 00 утро на катя', {'entities': [(0, 16, 'task_type')]}]",,"['создавать задача : подготовить аналитический отчет к 9 : 00 утро на катя', {'entities': [(53, 54, 'time'), (57, 59, 'time'), (60, 64, 'time')]}]"
Создай задачу : Организовать встречу с клиентом к 14 : 30 завтра на Владимира,создавать задача : организовывать встреча с клиент к 14 : 30 завтра на владимир,"['создавать задача : организовывать встреча с клиент к 14 : 30 завтра на владимир', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : организовывать встреча с клиент к 14 : 30 завтра на владимир', {'entities': [(71, 79, 'person')]}]","['создавать задача : организовывать встреча с клиент к 14 : 30 завтра на владимир', {'entities': [(53, 55, 'time'), (58, 60, 'time'), (61, 67, 'time')]}]"
Создай задачу : Провести интервью с кандидатами к 16 : 00 сегодня на Людмилу,создавать задача : проводить интервью с кандидат к 16 : 00 сегодня на людмила,"['создавать задача : проводить интервью с кандидат к 16 : 00 сегодня на людмила', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : проводить интервью с кандидат к 16 : 00 сегодня на людмила', {'entities': [(70, 77, 'person')]}]","['создавать задача : проводить интервью с кандидат к 16 : 00 сегодня на людмила', {'entities': [(51, 53, 'time'), (56, 58, 'time'), (59, 66, 'time')]}]"
Создай задачу : Отправить письмо с запросом на информацию к 10 : 30 утра завтра на Павла,создавать задача : отправлять письмо с запрос на информация к 10 : 30 утро завтра на павел,"['создавать задача : отправлять письмо с запрос на информация к 10 : 30 утро завтра на павел', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : отправлять письмо с запрос на информация к 10 : 30 утро завтра на павел', {'entities': [(85, 90, 'person')]}]","['создавать задача : отправлять письмо с запрос на информация к 10 : 30 утро завтра на павел', {'entities': [(62, 64, 'time'), (67, 69, 'time'), (70, 74, 'time'), (75, 81, 'time')]}]"
Создай задачу : Проверить выполнение задачи по проекту к 15 : 00 сегодня на Софию,создавать задача : проверять выполнение задача по проект к 15 : 00 сегодня на софия,"['создавать задача : проверять выполнение задача по проект к 15 : 00 сегодня на софия', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : проверять выполнение задача по проект к 15 : 00 сегодня на софия', {'entities': [(78, 83, 'person')]}]","['создавать задача : проверять выполнение задача по проект к 15 : 00 сегодня на софия', {'entities': [(59, 61, 'time'), (64, 66, 'time'), (67, 74, 'time')]}]"
Создай задачу : Подготовить список необходимых закупок к 11 : 45 утра на Михаила,создавать задача : подготовить список необходимый закупка к 11 : 45 утро на михаил,"['создавать задача : подготовить список необходимый закупка к 11 : 45 утро на михаил', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : подготовить список необходимый закупка к 11 : 45 утро на михаил', {'entities': [(76, 82, 'person')]}]","['создавать задача : подготовить список необходимый закупка к 11 : 45 утро на михаил', {'entities': [(60, 62, 'time'), (65, 67, 'time'), (68, 72, 'time')]}]"
Создай задачу : Разработать новый дизайн сайта к 14 : 45 завтра на Ирину,создавать задача : разрабатывать новый дизайн сайт к 14 : 45 завтра на ирина,"['создавать задача : разрабатывать новый дизайн сайт к 14 : 45 завтра на ирина', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : разрабатывать новый дизайн сайт к 14 : 45 завтра на ирина', {'entities': [(71, 76, 'person')]}]","['создавать задача : разрабатывать новый дизайн сайт к 14 : 45 завтра на ирина', {'entities': [(53, 55, 'time'), (58, 60, 'time'), (61, 67, 'time')]}]"
Создай задачу : Провести аудит безопасности к 16 : 15 сегодня на Виктора,создавать задача : проводить аудит безопасность к 16 : 15 сегодня на виктор,"['создавать задача : проводить аудит безопасность к 16 : 15 сегодня на виктор', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : проводить аудит безопасность к 16 : 15 сегодня на виктор', {'entities': [(69, 75, 'person')]}]","['создавать задача : проводить аудит безопасность к 16 : 15 сегодня на виктор', {'entities': [(50, 52, 'time'), (55, 57, 'time'), (58, 65, 'time')]}]"
Создай задачу : Отправить документы на согласование к 9 : 30 утра завтра на Алису,создавать задача : отправлять документ на согласование к 9 : 30 утро завтра на алиса,"['создавать задача : отправлять документ на согласование к 9 : 30 утро завтра на алиса', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : отправлять документ на согласование к 9 : 30 утро завтра на алиса', {'entities': [(79, 84, 'person')]}]","['создавать задача : отправлять документ на согласование к 9 : 30 утро завтра на алиса', {'entities': [(57, 58, 'time'), (61, 63, 'time'), (64, 68, 'time'), (69, 75, 'time')]}]"
Создай задачу : Подготовить материалы для прессконференции к 17 : 45 сегодня на Дмитрия,создавать задача : подготовить материал для прессконференция к 17 : 45 сегодня на дмитрий,"['создавать задача : подготовить материал для прессконференция к 17 : 45 сегодня на дмитрий', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : подготовить материал для прессконференция к 17 : 45 сегодня на дмитрий', {'entities': [(82, 89, 'person')]}]","['создавать задача : подготовить материал для прессконференция к 17 : 45 сегодня на дмитрий', {'entities': [(63, 65, 'time'), (68, 70, 'time'), (71, 78, 'time')]}]"
Создай задачу : Провести тренинг по управлению временем к 10 : 15 утра на Елену,создавать задача : проводить тренинг по управление время к 10 : 15 утро на елена,"['создавать задача : проводить тренинг по управление время к 10 : 15 утро на елена', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : проводить тренинг по управление время к 10 : 15 утро на елена', {'entities': [(75, 80, 'person')]}]","['создавать задача : проводить тренинг по управление время к 10 : 15 утро на елена', {'entities': [(59, 61, 'time'), (64, 66, 'time'), (67, 71, 'time')]}]"
Создай задачу : Отправить предложение по сотрудничеству к 12 : 30 завтра на Игоря,создавать задача : отправлять предложение по сотрудничество к 12 : 30 завтра на игорь,"['создавать задача : отправлять предложение по сотрудничество к 12 : 30 завтра на игорь', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : отправлять предложение по сотрудничество к 12 : 30 завтра на игорь', {'entities': [(80, 85, 'person')]}]","['создавать задача : отправлять предложение по сотрудничество к 12 : 30 завтра на игорь', {'entities': [(62, 64, 'time'), (67, 69, 'time'), (70, 76, 'time')]}]"
Создай задачу : Разработать план маркетинговых мероприятий к 14 : 45 сегодня на Ангелину,создавать задача : разрабатывать план маркетинговый мероприятие к 14 : 45 сегодня на ангелина,"['создавать задача : разрабатывать план маркетинговый мероприятие к 14 : 45 сегодня на ангелина', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : разрабатывать план маркетинговый мероприятие к 14 : 45 сегодня на ангелина', {'entities': [(85, 93, 'person')]}]","['создавать задача : разрабатывать план маркетинговый мероприятие к 14 : 45 сегодня на ангелина', {'entities': [(66, 68, 'time'), (71, 73, 'time'), (74, 81, 'time')]}]"
Создай задачу : Провести обзор рынка к 16 : 30 утра завтра на Валентина,создавать задача : проводить обзор рынок к 16 : 30 утро завтра на валентина,"['создавать задача : проводить обзор рынок к 16 : 30 утро завтра на валентина', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : проводить обзор рынок к 16 : 30 утро завтра на валентина', {'entities': [(66, 75, 'person')]}]","['создавать задача : проводить обзор рынок к 16 : 30 утро завтра на валентина', {'entities': [(43, 45, 'time'), (48, 50, 'time'), (51, 55, 'time'), (56, 62, 'time')]}]"
Создай задачу : Организовать онлайнконференцию к 11 : 00 утра на Анну,создавать задача : организовывать онлайнконференция к 11 : 00 утро на анна,"['создавать задача : организовывать онлайнконференция к 11 : 00 утро на анна', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : организовывать онлайнконференция к 11 : 00 утро на анна', {'entities': [(70, 74, 'person')]}]","['создавать задача : организовывать онлайнконференция к 11 : 00 утро на анна', {'entities': [(54, 56, 'time'), (59, 61, 'time'), (62, 66, 'time')]}]"
Создай задачу : Подготовить отчет о выполненной работе к 15 : 15 сегодня на Станислава,создавать задача : подготовить отчет о выполнять работа к 15 : 15 сегодня на станислав,"['создавать задача : подготовить отчет о выполнять работа к 15 : 15 сегодня на станислав', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : подготовить отчет о выполнять работа к 15 : 15 сегодня на станислав', {'entities': [(77, 86, 'person')]}]","['создавать задача : подготовить отчет о выполнять работа к 15 : 15 сегодня на станислав', {'entities': [(58, 60, 'time'), (63, 65, 'time'), (66, 73, 'time')]}]"
Создай задачу : Отправить уведомление о встрече к 17 : 00 завтра на Веронику,создавать задача : отправлять уведомление о встреча к 17 : 00 завтра на вероника,"['создавать задача : отправлять уведомление о встреча к 17 : 00 завтра на вероника', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : отправлять уведомление о встреча к 17 : 00 завтра на вероника', {'entities': [(72, 80, 'person')]}]","['создавать задача : отправлять уведомление о встреча к 17 : 00 завтра на вероника', {'entities': [(54, 56, 'time'), (59, 61, 'time'), (62, 68, 'time')]}]"
Создай задачу : Разработать проморолик к 10 : 45 утра на Григория,создавать задача : разрабатывать проморолик к 10 : 45 утро на григорий,"['создавать задача : разрабатывать проморолик к 10 : 45 утро на григорий', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : разрабатывать проморолик к 10 : 45 утро на григорий', {'entities': [(62, 70, 'person')]}]","['создавать задача : разрабатывать проморолик к 10 : 45 утро на григорий', {'entities': [(46, 48, 'time'), (51, 53, 'time'), (54, 58, 'time')]}]"
Создай задачу : Проверить правильность документов к 13 : 15 сегодня на Евгению,создавать задача : проверять правильность документ к 13 : 15 сегодня на евгений,"['создавать задача : проверять правильность документ к 13 : 15 сегодня на евгений', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : проверять правильность документ к 13 : 15 сегодня на евгений', {'entities': [(72, 79, 'person')]}]","['создавать задача : проверять правильность документ к 13 : 15 сегодня на евгений', {'entities': [(53, 55, 'time'), (58, 60, 'time'), (61, 68, 'time')]}]"
Создай задачу : Подготовить план обучения сотрудников к 18 : 30 завтра на Татьяну,создавать задача : подготовить план обучение сотрудник к 18 : 30 завтра на татьяна,"['создавать задача : подготовить план обучение сотрудник к 18 : 30 завтра на татьяна', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : подготовить план обучение сотрудник к 18 : 30 завтра на татьяна', {'entities': [(75, 82, 'person')]}]","['создавать задача : подготовить план обучение сотрудник к 18 : 30 завтра на татьяна', {'entities': [(57, 59, 'time'), (62, 64, 'time'), (65, 71, 'time')]}]"
Создай задачу : Провести совещание по текущим проектам к 9 : 15 утра на Романа,создавать задача : проводить совещание по текущий проект к 9 : 15 утро на роман,"['создавать задача : проводить совещание по текущий проект к 9 : 15 утро на роман', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : проводить совещание по текущий проект к 9 : 15 утро на роман', {'entities': [(74, 79, 'person')]}]","['создавать задача : проводить совещание по текущий проект к 9 : 15 утро на роман', {'entities': [(59, 60, 'time'), (63, 65, 'time'), (66, 70, 'time')]}]"
Создай задачу : Отправить запрос на информацию к 14 : 00 сегодня на Ярослава,создавать задача : отправлять запрос на информация к 14 : 00 сегодня на ярослав,"['создавать задача : отправлять запрос на информация к 14 : 00 сегодня на ярослав', {'entities': [(0, 16, 'task_type')]}]","['создавать задача : отправлять запрос на информация к 14 : 00 сегодня на ярослав', {'entities': [(72, 79, 'person')]}]","['создавать задача : отправлять запрос на информация к 14 : 00 сегодня на ярослав', {'entities': [(53, 55, 'time'), (58, 60, 'time'), (61, 68, 'time')]}]"
